Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
276,14.0,0.2178,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",composite columns are one of the most used cross-sections in various buildings and bridges in this research the impact of different parameters such as the effect of the eccentricity of loads or the change in the horizontal distance of the loading profiles in buckling of the composite columns with double ipe cross-sections as well as the impact of different value of slenderness on buckling of composite box columns has been investigated based on the results the steel member's yielding will be delayed by filling the steel sections with concrete also an increase in the amount of composite column capacity is directly related to the associative ratio of composite concrete in other words increasing the ratio of the concrete surface leads to greater capacity which is caused by being filled with concrete
277,10.0,0.221,"material, show, result, strain, model, damage, size, crack, surface, find",concrete fracture caused by corrosion of reinforcing bars may cause subsequent structure failure to better predict this process we introduce a partially-homogenized stochastic peridynamic model with the simplest constitutive relation (linear elastic with brittle failure) the model links microscale information (phase volume fractions of mortar aggregates interfaces) to macroscale fracture behavior while costing the same as a fully homogenized model we show and explain why a fully-homogenized peridynamic model fails to capture the correct concrete fracture modes/patterns while the new model succeeds the multiscale model predicts the evolution of fracture in reinforced concrete caused by corrosion products expansion in samples with a single or multiple rebars non-uniform expansion of corrosion products is enforced here as preset incremental radial displacements the computed fracture patterns and the order in which various cracks develop match what is seen in experiments the model’s robustness is tested under different stochastic realizations and discretization grid types
278,9.0,0.1134,"system, control, field, sensor, current, application, dynamic, drive, describe, function",nonlinear dynamics of an axially moving viscoelastic beam subjected to transverse harmonic excitation is studied the governing equation of motion of this system is discretized by employing galerkin’s technique which yields a single-degree-of-freedom duffing system having nonlinear fractional derivative the viscoelastic properties of the material are described by the fractional kelvin–voigt model based on the caputo definition the primary resonance is analytically investigated by the averaging method with the aid of response curves a parametric study is conducted to display the influences of the fractional order and the viscosity coefficient on steady-state responses the validations of this study are given through comparisons between the analytical solutions and numerical ones where the stability of the solutions is determined by the routh-hurwitz criterion it is found that suppression of undesirable responses can be achieved via changing the viscosity of the system
279,18.0,0.1151,"system, technology, research, information, datum, development, future, provide, make, service","the analysis of the charge/discharge curve helps judge the quality of cells and figure out some strange behaviors of the battery module especially many unusual behaviors won’t exhibit on the appearance it’s important to establish the charge/discharge profile database for effective manufacturing and troubleshooting in this talk the basic charge/discharge method of li-ion battery simple equivalent circuit model of battery general charge/discharge curve of lfp battery will be introduced then a case-by-case failure mode and effects analysis will be presented up to ten cases are discussed in the slides

dr hsien-ching chung was invited by dr jim lee (the chairman of taiwan battery association) to give a talk about ""failure mode and effects analysis of lfp battery module"" in the conference ""2018 taiwan-japan exchange conference on battery materials and battery manufacturing technologies"" the conference was held in center for space and remote sensing research national central university taoyuan taiwan on dec 18 2018 there were about 20 keynote speakers and 150 participants it's a good opportunity to realize new technologies in the battery industry and the future of the energy industry"
280,3.0,0.1473,"method, motion, compare, measurement, significant, error, measure, accuracy, obtain, condition",superelastic nitinol is a widely used material to manufacture implantable medical devices simulations are extensively used in the design optimization and durability assessment of nitinol implants the constitutive response of superelastic materials is non-linear anisotropic and asymmetric in tension vs compression the existing methods to determine the superelastic material properties used in finite element simulations typically do not account for some of these complexities the goal of this work is to introduce a method to determine the superelastic material constitutive properties using full-field surface strain measurements we propose using digital image correlation to obtain surface strain fields during tensile testing of specially designed diamond specimens the material properties are determined by minimizing a difference metric defined in terms of the local strain difference and the global load difference between the experiment and trial simulations we also propose a metric in terms of the local strain difference between experimental measurement and simulation prediction to report the credibility of the material properties fitted using this method the philosophy behind this method and the proposed metric to quantify the accuracy of material property fitting reflects the growing consensus in the implantable device community that the simulation results must be accompanied by a quantification of their credibility
281,14.0,0.1131,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",this study deals with the use of a nanofiller aerosil® r 972 a form of fumed silica with an average diameter of around 16nm and specific surface area of 110m2/g this nanofiller is used in combination with the polyamide imide wire enamel to create a nanocomposite ai 32 s suspension the investigation is a comparative study using different proportions of nanofiller and a reference sample containing no filler to determine any potential changes in electrical and mechanical properties of the wire enamel experimental results showed improvements in surface finish of the coat viscosity abrasion resistance and breakdown voltage
282,7.0,0.1777,"paper, present, wave, introduce, make, frequency, concept, signal, high, field","a new method of amplitude division multiplexing (adma) is proposed where a single channel can be used to transmit multiple digital signals simultaneously using the concept of prime number factorization this method contrasts with the currently used methods such as frequency-division multiple access (fdma) in which
the total bandwidth available in a channel is divided into a series of non-overlapping frequency bands each of
which is used to carry a separate signal comparison of the proposed method with a popular pam technique-2b1q method is made distinct advantages of the proposed method and a few applications are
presented"
283,1.0,0.1176,"propose, power, paper, performance, optimization, approach, order, improve, algorithm, generation",the dream of building machines that have human-level intelligence has inspired scientists for decades remarkable advances have been made recently; however we are still far from achieving this goal in this paper i propose an alternative perspective on how these machines might be built focusing on the scientific discovery process which represents one of our highest abilities that requires a high level of reasoning and remarkable problem-solving ability by trying to replicate the procedures followed by many scientists the basic idea of the proposed approach is to use a set of principles to solve problems and discover new knowledge these principles are extracted from different historical examples of scientific discoveries building machines that fully incorporate these principles in an automated way might open the doors for many advancements
284,3.0,0.0958,"method, motion, compare, measurement, significant, error, measure, accuracy, obtain, condition",this article describes a new and innovative algorithm for quantizing vectors in a two dimensional space in a non-iterative way additionally this technique produces an optimal number of quantized vectors and hence the knowledge of the number of quantized vectors is not needed beforehand
285,16.0,0.1188,"problem, time, solution, result, base, team, scale, event, solve, term",in this article the procedure to conduct the time-frequency analysis of data recieved from distant pulsars such as the vela pulsar is explored problems that are encountered and solutions to these problems are also mentioned
286,3.0,0.1549,"method, motion, compare, measurement, significant, error, measure, accuracy, obtain, condition",computational modeling such as finite element analysis is employed in a range of biomechanics specialties including impact biomechanics and surgical planning these models rely on accurate material properties for skeletal muscle which comprises roughly 40% of the human body due to surrounding tissues compressed skeletal muscle in vivo likely experiences a semi-confined state nearly all previous studies investigating passively compressed muscle at the tissue level have focused on muscle in unconfined compression the goals of this study were to (1) examine the stiffness and time-dependent material properties of skeletal muscle subjected to both confined and unconfined compression (2) develop a model that captures passive muscle mechanics under both conditions and (3) determine the extent to which different assumptions of volumetric behavior affect model results muscle in confined compression exhibited stiffer behavior agreeing with previous assumptions of near-incompressibility stress relaxation was found to be faster under unconfined compression suggesting there may be different mechanisms that support load these two conditions finite element calibration was achieved through nonlinear optimization (normalized root mean square error &lt;6%) and model validation was strong (normalized root mean square error &lt;17%) comparisons to commonly employed assumptions of bulk behavior showed that a simple one parameter approach does not accurately simulate confined compression we thus recommend the use of a properly calibrated nonlinear bulk constitutive model for modeling of skeletal muscle in vivo future work to determine mechanisms of passive muscle stiffness would enhance the efforts presented here
287,17.0,0.1847,"case, present, technique, device, time, patient, develop, provide, assess, lead",iin the present paper the flat composite plates in buckling are studied the plates have a symmetric lay-up and loaded along their contour by the in-plane forces the consideration employs the von karman approach the lay-up optimality conditions for a single-mode (lowest) buckling eigenvalue are derived using the proper variational principles and the variation calculus both the bending terms and the terms following from the redistribution of the 2d stresses over the plate are taken into account the optimality conditions contain two items (corresponding to the bending and to the 2d infinitesimal plane strains) the comparative analysis of the items is performed the physical meaning of the optimality conditions is demonstrated and explained an illustration to the derived conditions is presented and analyzed it is shown that for the optimal lay-up not all lamination parameters are independent on each other (one of them is a linearly dependent one) the analysis leads to a conclusion that the optimization wrt the lamination parameters only is not sufficient for obtaining an optimal plate lay-up
288,15.0,0.1321,"analysis, structure, load, result, response, set, region, important, element, local",dimensional analysis is a long-established tool widely used in many branches of engineering and science however  applications in geotechnical engineering and in particular soil-structure interaction (ssi) have barely been explored in spite of the method's potential to clarify parameter influence and shed light on the range of response regimes the purpose of this text is twofold: (a) it intends to provide a brief introduction to dimensional analysis specifically tailored to geotechnical engineers by carefully choosing illustrative examples (b) it uses dimensional analysis to study the parameter space in soil-building interaction problems emphasizing modeling choices and using a finite-element model to demonstrate the concept of physical similarity the suitability of using certain dimensionless parameters over others is discussed based on and their magnitude and sensitivity analysis
289,18.0,0.1008,"system, technology, research, information, datum, development, future, provide, make, service","the tremendous progress in metal oxide
semiconductor (mos) technology has been a direct consequence
of device scaling for past several decades but as we have
entered the nanometer era many problems related to leakage
currents and other issues related to variability impacting the
yield are of concern herein we have investigated how the change
in the fin architecture and gate length of the mos device
impacts the threshold voltage"
290,7.0,0.5039,"paper, present, wave, introduce, make, frequency, concept, signal, high, field","this paper introduces a new concept for the local oscillator (lo) for the photon counting chirped amplitude modulation lidar (pc-caml) rather than using a radio-frequency (rf) analog lo applied electronically either in post-detection mixing or via opto-electronic mixing (oem) at the detector or applied via pre-detection mixing using an optical intensity modulator as in previous systems the new method mixes the single-bit binary counts from the photon counting detector with a single-bit binary lo using an and binary digital logic gate this type of lo is called the digital logic local oscillator (dllo) and the resulting pc-caml system is a type of bitstream lidar called bitstream pc-caml (patent pending)

the key advantage of the dllo in the bitstream pc-caml is that it replaces bulky power-hungry and expensive wideband rf analog electronics with single-bit digital logic components that can be implemented in inexpensive silicon complementary metal-oxide-semiconductor (cmos) read-out integrated circuits (roics) to make the bitstream pc-caml with a dllo more suitable for compact lidar-on-a-chip systems and lidar array receivers than previous pccaml systems

this paper introduces the dllo for bitstream pc-caml concept presents the initial signal-to-noise-ratio (snr) theory with comparisons to monte carlo simulation results and makes suggestions for future work on this concept"
291,9.0,0.1372,"system, control, field, sensor, current, application, dynamic, drive, describe, function",the problem of estimating seismic ground deformation is central to state-of-practice procedures of designing and maintaining infrastructure in earthquake-prone areas particularly the problem of estimating the displacement field in a soft shallow layer overlying rigid bedrock induced by simple sh wave excitation has been favored by engineers due to its simplicity combined with inherent relevance for practical scenarios we here derive analytical accurate estimates for both the fundamental frequency and the amplitude of the first resonant mode of such systems by applying an intuitive argument based on resonance of single-degree-of-freedom systems our estimates do not presuppose a continuous velocity distribution and can be used for fast assessment of site response in seismic hazard assessment and engineering design on the basis of the said estimates of fundamental frequency and amplitude we next propose a novel definition of ``equivalent homogeneous shear modulus’’ of the inhomogeneous deposit; and we show that the response of the fundamental mode of these systems is governed by the mechanical properties of the layers closer to the bedrock we finally discuss the validity of our argument and evaluate the accuracy of our results by comparison with analytical and numerical solutions
292,10.0,0.1207,"material, show, result, strain, model, damage, size, crack, surface, find",this paper implements the virtual fields method within the ordinary state based peridynamic framework to identify material properties the key equations derived in this approach are based on the principle of virtual works written under the ordinary state based peridynamic formalism for two-dimensional isotropic linear elasticity in-house codes including a minimization process have also been developed to implement the method a three-point bending test and two independent virtual fields arbitrarily chosen are used as a case study throughout the paper the numerical validation of the virtual fields method has been performed on the case study by simulating the displacement field by finite element analysis this field has been used to extract the elastic material properties and compared them to those used as input in the finite element model showing the robustness of the approach noise analysis and the effect of the missing displacement fields on the specimen’s edges to simulate digital image correlation limitations have also been studied in the numerical part this work focuses on pre-damage properties to demonstrate the feasibility of the method and provides a new tool for using full-field measurements within peridynamics with a reduced calculation time as there is no need to compute the displacement field future works will deal with damage properties which is the main strength of peridynamics
293,7.0,0.2009,"paper, present, wave, introduce, make, frequency, concept, signal, high, field",terahertz spectral range (frequencies of 01-1 thz) has recently emerged as the next frontier for non-destructive imaging industrial sensing and ultra-fast wireless communications here we review several classes of materials such as simple metals semiconductors high-k dielectrics polar materials zero gap materials as well as structured materials that can support strongly localized electromagnetic modes at material interfaces in the terahertz spectral range we present the basic theory of surface waves detail the requirement of strong modal confinement and low loss for the surface waves propagating at material interfaces and discuss challenges for excitation of such modes at terahertz frequencies a large number of examples related to naturally occurring and artificial materials is then presented a variety of practical applications is envisioned for surface waves at terahertz frequencies including non-destructive super-resolution imaging and quality control high sensitivity sensors capable of operation with small volumes of analytes that are opaque in the visible and near-infrared as well as design of compact optical circuit for the upcoming ultra-high bitrate thz communication devices
294,14.0,0.3674,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",carbon fiber reinforced polymer (cfrp) materials are being widely used for structural applications despite the relatively high cost of the cfrp materials their high strength-to-weight ratio and corrosion resistance as well as easy handling and installation have made them widely popular for different civil engineering applications where increased strength and/or ductility is important this thesis investigates the moment-rotational response of an endplate composite connection including strengthening of the slab by using different sizes and thickness of cfrp sheets in hogging moment regions and different reinforcement bar ratios by using finite element simulations a three dimensional non-linear model is developed in ansys to study the feasibility of decreasing the reinforcing bars in the presence of the cfrp laminate in hogging moment regions of the slab the verification of the analysis is carried out to calibrate the un-strengthened model by available experimental results obtained from a series of composite connection tests as reported by other researchers the moment resistance for the partial depth endplate composite connection obtained by ansys 121 software is found to be very close to the corresponding laboratory test value from the results it can be observed that applying cfrp sheets to the tension face of composite slab can reduce the amount of steel reinforcement bars required for flexural strength of composite connections
295,16.0,0.2044,"problem, time, solution, result, base, team, scale, event, solve, term",we present an algorithm along with a correctness proof for solving the 3 satisfiability problem that is inspired by quantum mechanical principles and that runs in polynomial time with respect to the size of the input problem even though we term both our algorithm and its associated proof as quantum (for reasons which we will demonstrate) it is intended to be run on standard classical architecture in the article we posit that the 3 satisfiability problem has an intrinsic complex quantum form that can be programmed in order to build a model of the solution space for satisfiable instances or show that such a model cannot be constructed this yields surprising results on the ability for classical systems to abstractly simulate general quantum systems
296,7.0,0.3879,"paper, present, wave, introduce, make, frequency, concept, signal, high, field",in this work we first solve the radiative heat transfer problem in one dimension to perform a comparative analysis of the time averaged performance of the partially transparent radiative windows and radiative coolers in doing so we clearly distinguish the design goals for the partially transparent windows and radiative coolers and provide optimal choice for the material parameters to realize these goals thus radiative coolers are normally non-transparent in the visible and the main goal is to design a cooler with the temperature of its dark side as low as possible relative to that of the atmosphere for the radiative windows however their surfaces are necessarily partially transparent in the visible in the cooling mode the main question is rather about the maximal visible light transmission through the window at which the temperature on the window somber side does not exceed that of the atmosphere we then demonstrate that transmission of the visible light through smart windows can be significantly increased (by as much as a factor of 2) without additional heating of the windows via coupling of the windows to the radiative coolers using transparent cooling liquid that flows inside of the window and radiative cooler structures we demonstrate that efficient heat exchange between radiative coolers and smart windows can be realized using small coolant velocities (sub 1mm/s for ~1m-large windows) or even using a purely passive gravitationally driven coolant flows between a hot smart window and a cold radiative cooler mounted on top of the window with only a minimal temperature differential (sub-1k) between the two we believe that our simple models complimented with an in-depth comparative analysis of the standalone and coupled smart windows and radiative coolers can be of interest to a broad scientific community pursuing research in these disciplines
297,19.0,0.1133,"design, engineering, student, project, study, work, find, paper, include, designer",block-chain world is very dynamic and there is need for strong governance and underlying technology architecture to be robust to face challenges this paper considers ethereum a leading block chain we deep dive into the nature of this block chain wherein for software upgrades forks are performed they types of forks and impact is discussed a specific ethereum hack led to a hard fork and focus is provided on understanding the hack and overcoming it from a novel approach the current model has been unable to handle multiple ethereum attacks thus the current approach is compared against a novel approach providing a security and scaling solution here the architecture draws upon combining block-chain layers   into operating system level the approach can have tremendous benefits to block chain world and improve the way decentralized application teams perform the benefits of the novel architecture is discussed the approach helps safe guard block chain projects making them safer and chain agnostic
298,4.0,0.3015,"model, study, base, develop, performance, predict, perform, datum, configuration, simulate",drying is crucial in the quality preservation of food materials physics-based models are effective tools to optimally control the drying process however these models require accurate thermo-physical properties; unavailability or uncertainty in the values of these properties increases the possibility of error property estimation methods are not standardized and usually involve the use of many instruments and are time-consuming in this work we have developed an experimentally validated deep learning-based artificial neural network model that estimates sensitive input parameters of food materials using temperature and moisture data from a set of simple experiments this model predicts input parameters with error less than 1% further using input parameters physics-based model predicts temperature and moisture to within 5% accuracy of experiments the proposed work when interfaced with food machinery could play a significant role in process optimization in food processing industries
299,18.0,0.2946,"system, technology, research, information, datum, development, future, provide, make, service","not all accidental releases of ﬂammable gases and vapors create explosions most releases do not ﬁnd an ignition source and of those that do ignite most of them result in deﬂagrations that generate low or moderate overpressures under some circumstances however it is possible for deﬂagration-to-detonation transition (ddt) to occur and this can be followed by a propagating detonation that quickly consumes the remaining detonable cloud in a detonable cloud a detonation creates the worst accident that can happen because detonation overpressures are much higher than those in a deﬂagration and continue through the entire detonable cloud the damage from a ddt event is more severe
this paper ﬁrst provides a brief summary of our knowledge to date of the fundamental mechanisms of ﬂame acceleration and ddt this information is then contrasted to and combined with evidence of detonations (detonation markers) obtained from large-scale tests and actual large vapor cloud explosions (vces) including events at bunceﬁeld (uk) jaipur (india) capeco (puerto rico) and port hudson (us) the major conclusion from this review is that detonations did occur in prior vces in at least part of the vce accidents finally actions are suggested that could be taken to minimize detonation hazards"
300,18.0,0.1373,"system, technology, research, information, datum, development, future, provide, make, service",the material in this paper comprise a compendium of more detailed information and analyses of the 14 large-scale explosions described the paper mechanisms and occurrence of detonations in vapor cloud explosions by oran chamberlain and pekalski [progress in energy and combustion science doiorg/101016/jpecs2019100804) each section begins with a general description of the incident and then where possible more analysis (based on the work of gc) and useful information about the incident the events all have certain physical similarities but vary greatly in terms of the level of information available for analysis taken together however they present a powerful picture of what a detonation can do as well as indications of what might be done in the future to avoid such an incident
301,4.0,0.2397,"model, study, base, develop, performance, predict, perform, datum, configuration, simulate",food materials shrink when they are air-dried however owing largely to the complexity of modelling most drying models so far have neglected this shrinkage leading to inaccurate predictions the empirical nature inability to yield data on location-specific deformations and computational cost of detailed poro-mechanistic analyses and complex deformation modelling approaches make them unattractive for models that could be used in real-time process control algorithms in this work we develop a simplified transport model to predict spatial and temporal shrinkage during low temperature air drying process and validate the model with experiments in such drying volumetric change is dominated by moisture loss; therefore the role of gas induced porosity is neglected this model predicts shrinkage temperature and moisture content at each spatial location at time intervals during the drying process the model agrees well with experiments conducted by us (reported in this paper) as well as with those conducted by others (taken from the literature) on food samples  we expect that this generalized model will find wide applications in the food processing industry
302,15.0,0.2588,"analysis, structure, load, result, response, set, region, important, element, local",beam-to-column connections affect the rigidity and strength of the overall precast concrete structures even though many experimental researches have been carried out on beam-to-column connections the behavior and failure mode of the connection in precast concrete is often difficult to assess through experimental program the finite element analysis on the other hand can be an option to properly evaluate the condition of the connections nevertheless the finite element analysis on the beam-to-column connections is quite limited thus there is a need to study and explore the behavior of the connection system based on the finite element data in this research the finite element analysis was performed to study the performance of different types of beam-to-column connections in precast concrete frames a total of four specimens were modeled and analyzed to study the connection behavior involving load-displacement relationship under static incremental load different connection details were considered and the behavior of various beam-to-column connections were investigated
303,17.0,0.3575,"case, present, technique, device, time, patient, develop, provide, assess, lead","this work is inter disciplinary in nature this work tries to apply latest discoveries in artificial intelligence to classic testing methodologies machine learning which is the field of artificial intelligence is explored in this work the
work demonstrates that provided the test team maintains the required data machine learning algorithms can aid in deciphering patterns from the test data patterns of interest are the relation between testers experience in the project and bugs uncovered relations between the testers experience and the efficiency of test case with respect to code coverage and test execution time relation between testers experience and efficiency of test case with respect to code coverage and execution
time relation between testers experience and bugs uncovered are explored using classic statistical techniques and clustering machine learning algorithms this clustering can be of immense help in test selection prioritization pruning and regression test execution time reduction"
304,8.0,0.3374,"surface, show, study, process, concentration, form, high, low, sample, ion",a proposal of thin sandwich mirror array lens for x-ray telescope wolter type lens is discussed    we discussed a process of design fabrication of this thin x-ray lens and conducted a simulation and provided a measurement method for lens focal quality  the lens consists of two connected layers of arrays of rings of mirrors one is of parabolic mirror and another is of hyperbolic mirrors  in each layer the mirror coating is deposited on a substrate and next substrate in turn is deposited on this mirror film leaving no air gap  repeat this process to form an array of mirrors  hence form a solid thin disc sandwich mirror lens and each ring of mirror can be curved precisely by polishing process  x ray travels into the transparent substrate and grazes on the surface of the mirror coating facing the substrate   using geometrical optics ray tracing we conducted simulation with two artificial distance stars as the source objects a virtual lens of mirror array and a disc placed at the focal plane as the receiver ccd  simulation shows that the star located off optical axis forms corn shape patterns by its ray crossing pointa on ccd disc  those patterns may provide the baseline pattern for further image deconvolution or aberration reducing algorithm  the corn pattern is related to the dimensional structure of the lens and the space location of the star; hence it contains some information about space location of the star  a simulation of ray tracing video is made as well  the thin sandwich lens we discussed in this paper may provide a way to build a large aperture telescope x ray lens
305,0.0,0.5208,"network, vehicle, operation, soil, environment, base, capacity, communication, generate, article","abstract:
resupply by airdropping or drone-shipping is a new resupply strategy in backpacking in preparation for reconnaissance in long distance backpacking and sar activities in remote areas with little or no development we consider the use of amateur radio with gps beacons for resupply tracking
and geo-tagging 
while 6g communications using gps satellites are available for mountaineering beacons we use a dual strategy with an additional amateur radio based ax25 packet radio using the psat based cubesat for publishing location information
additionally two cargo itag locating satellites bot cubesats are also used for itag location and the automatic publication of tag locations on geocachingcom the satellites are aeneas and ptecsat
a logistics exercise is introduced proposed to be conducted at uncas scientific area near big lake mn with an operations logistik for the spanning of drop locations and radio fox hunt using a reconnaissance track mobile cache device
keywords: itag ibeacon amsat cubesat aeneas ptecsat 6g ax25 resupply mountaineering and backpacking sar

what: 
the amsat aeneas(“technical details for satellite aeneas” nd) ptecsat(“iaru sat coordinator” nd) satellite is used for resupply ibeacon tracking with a payload of water sachets and soylent coffee packs for mountaineering resupply logistics radio fox hunting combined with alpining is defined as a newer ultralight backpacking technique
how:
ibeacons defining 100msec bursts at 2425ghz are designed with the minimum wattage needed for detection on the field by the aeneas satellite 100 such packages containing 1-liter pouches of potable water and three meals of soylent of 87 grams each this proof of concept study is to be conducted at uncas dunes scientific and natural area (sna) with an area of 6583 acres  we have a density of airdropping of 658 acres per package leading to an average distance of 2662832 square meters by pi/4 d^2 d is 184 meters in circle close packing model
we determine an optimal trajectory for the radio fox hunt over a published geotag distribution of 100 resupply caches


why:
resupply strategies form an important role in long distance mountaineering and backpacking missions for wilderness areas with little or no little development for example the pacific crest trail in the united states a strong resupply strategy along with an armada of reconnaissance track mobile caches are needed for effective mountaineering and/or search and rescue operations with a resilience plan for extreme weather operations
the use of 6g like simulated communication is possible by using better encryption and packet compression over a slower ax25 network with the use of ai based technologies like image cartoonization and feature representation and speech to text conversion for lower bandwidth requirements

so what:
the use of reconnaissance tracks along with airdropped resupply will improve the efficiency and quality of mountaineering and provide vital air support for search and rescue operations resupply beacons also provide supplies for hikers or backpackers lost in the wilderness and also provide emergency communication hotspots as the beacons are still active to transreceiver emergency messages"
306,8.0,0.2305,"surface, show, study, process, concentration, form, high, low, sample, ion",the increasing occurrence of steroidal hormone micropollutant in the aquatic environment and their associated consequences have caused serious environmental concerns globally adsorptive removal of hormonal pollutants using polymeric membranes have been suggested but information on their performance in various environmental conditions is lacking in this study we examined the effect of salinity on the performance of polyethersulfone (pes) membrane to remove synthetic hormone 17α-ethinyl estradiol (ee2) from water our results show that an increase of salinity from 0 to 3% results in an improved retention of ee2 onto pes membrane from 793% to 987% the experimental results fit the freundlich isotherm model better as compared to the langmuir model the freundlich parameters n and kf yielded the highest values at 3% salinity molecular simulation results suggest that a high salinity increases the binding energy between ee2 and pes membranes promoting the pes-ee2 interaction through pi-pi interaction hydrogen bonding and hydrophobic interaction this study provides valuable information for improving treatment plant design to allow better removal of ee2 and other low-polar organic contaminants from water via membrane-based sorption-elution method and may also serves as a proof-of-concept in adsorptive removal of organic contaminants in the pre-treatment process of seawater prior to desalination to reduce burden on reverse osmosis membranes
307,15.0,0.1586,"analysis, structure, load, result, response, set, region, important, element, local",in this study the seismic behavior of the concrete shear wall considering the opening with different shapes and constant cross-section has been studied and for this purpose several shear walls are placed under the increasingly non-linear static analysis (pushover)  these case studies modeled in 3d abaqus software and the results of the ductility coefficient hardness energy absorption added resistance the final shape and the final resistance are compared to shear walls without opening
308,6.0,0.4976,"method, image, datum, base, detection, level, pattern, specific, human, require",image segmentation is widely used in a variety of computer vision tasks such as object localization and recognition boundary detection and medical imaging this thesis proposes deep learning architectures to improve automatic object localization and boundary delineation for salient object segmentation in natural images and for 2d medical image segmentation first we propose and evaluate a novel dilated dense encoder-decoder architecture with a custom dilated spatial pyramid pooling block to accurately localize and delineate boundaries for salient object segmentation the dilation offers better spatial understanding and the dense connectivity preserves features learned at shallower levels of the network for better localization tested on three publicly available datasets our architecture outperforms the state-of-the-art for one and is very competitive on the other two second we propose and evaluate a custom 2d dilated dense unet architecture for accurate lesion localization and segmentation in medical images this architecture can be utilized as a stand alone segmentation framework or used as a rich feature extracting backbone to aid other models in medical image segmentation our architecture outperforms all baseline models for accurate lesion localization and segmentation on a new dataset we furthermore explore the main considerations that should be taken into account for 3d medical image segmentation among them preprocessing techniques and specialized loss functions
309,12.0,0.2293,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high","the molten salt fast reactor (msfr) has garnered much interest for its inherent safety and sustainbility features the msfr can adopt a closed thorium fuel cycle for sustainable operation through the breeding of 233 u from 232 th the fuel composition changes significantly over the course of its lifespan in this study we investigated the steady state and transient behavior of the msfr using moltres a coupled neutronics/thermal-hydraulics code developed within the multiphysics object oriented simulation environment (moose) framework three different fuel compositions start-up early-life and equilibrium were examined for potentially dangerous core temperature excursions during a unprotected loss of heat sink (ulohs) accident the six-group and total neutron flux distributions showed good agreement with serpent and published msfr results while the temperature distribution and total power showed discrepancies which can be attributed to
known sources of error for the transient behavior under the ulohs scenario while the transition time towards the new steady state core temperature is also in good agreement with existing msfr simulations by fiorina et al moltres under-
estimated the temperature rise by a factor of ten due to the same sources of error affecting the steady state results while an msfr loaded with start-up fuel composition operates at a higher temperature than with the other two fuel compositions all three cases were shown to be inherently safe due to the
strong negative temperature feedback"
310,2.0,0.2372,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity","due to the vigorous promotion of commercialization and the popularization of electric vehicles in china the elimination of power batteries has gradually increased causing environmental protection threats and waste of resources therefore recycling and utilization of such batteries have been actively promoted in recent years at present the “interim measures for the management of recovery and utilization of new energy vehicle power battery” as well as related regulations and standards have been announced the power battery traceability management platform has been established and promoted so that the being counseled companies have cooperated to perform these policies this article is mainly to explain the promotion system and current situation of recovery and reuse of repurposing batteries including coding principles traceability management system manufacturing factory guidelines dismantling process guidelines residual energy measurement etc as well as analyze the promotion situation and policy in china currently the industry and business of electric vehicles are still in the early stage of promotion the main products include electric buses electric motorcycles and electric scooters the relative policy about power battery recycling is under development the policy code and standard in china and other countries can be used as references for promoting the recovery and reuse of repurposing batteries in the future in taiwan (this article has been published in the journal of taiwan energy 6 (2019) 425-451 link: https://kmtwenergyorgtw/publication/thesis_moreid=234 )
-----
近年來中國大力推動電動車輛的商業化與普及化，導致汰役電池逐漸增加，造成環保威脅與資源浪費的問題。因此積極推動汰役電池的回收與利用。目前已經公布「新能源汽車動力蓄電池回收利用管理暫行辦法」，及相關法規與標準，並建立與推廣動力電池溯源管理平台，同時輔導產業界配合執行。本文主要在說明中國汰役電池回收利用的推動制度與現況，包括編碼規則、溯源管理、設廠規範、拆解規範、餘能量測等，並分析其政府單位與民間企業的推動情形，同時檢討我國相關發展狀況。我國目前電動車輛尚在初期推廣階段，目前主要為電動巴士與電動機車，相關回收政策仍在研擬中，因此中國與國際已有的法規、標準與做法，值得我們做為未來推動汰役電池回收再利用的參考。(本文已發表於台灣能源期刊 6 (2019) 425-451 連結: https://kmtwenergyorgtw/publication/thesis_moreid=234 )"
